,Date/Time,Lat,Lon,Base
0,4/1/2014 00:11:00,40.769,-73.9549,B02512
1,4/1/2014 00:17:00,40.7267,-74.0345,B02512
2,4/1/2014 00:21:00,40.7316,-73.9873,B02512
3,4/1/2014 00:28:00,40.7588,-73.9776,B02512
4,4/1/2014 00:33:00,40.7594,-73.9722,B02512
5,4/1/2014 00:33:00,40.7383,-74.0403,B02512
6,4/1/2014 00:39:00,40.7223,-73.9887,B02512
7,4/1/2014 00:45:00,40.762,-73.979,B02512
8,4/1/2014 00:55:00,40.7524,-73.99600000000001,B02512
9,4/1/2014 01:01:00,40.7575,-73.9846,B02512
10,4/1/2014 01:19:00,40.7256,-73.9869,B02512
11,4/1/2014 01:48:00,40.7591,-73.9684,B02512
12,4/1/2014 01:49:00,40.7271,-73.9803,B02512
13,4/1/2014 02:11:00,40.6463,-73.7896,B02512
14,4/1/2014 02:25:00,40.7564,-73.9167,B02512
15,4/1/2014 02:31:00,40.7666,-73.9531,B02512
16,4/1/2014 02:43:00,40.758,-73.9761,B02512
17,4/1/2014 03:22:00,40.7238,-73.9821,B02512
18,4/1/2014 03:35:00,40.7531,-74.0039,B02512
19,4/1/2014 03:35:00,40.7389,-74.0393,B02512
20,4/1/2014 03:41:00,40.7619,-73.9715,B02512
21,4/1/2014 04:11:00,40.753,-74.0042,B02512
22,4/1/2014 04:15:00,40.6561,-73.9531,B02512
23,4/1/2014 04:19:00,40.725,-73.9844,B02512
24,4/1/2014 04:20:00,40.695,-74.1783,B02512
25,4/1/2014 04:26:00,40.9859,-74.1578,B02512
26,4/1/2014 04:27:00,40.6879,-74.1814,B02512
27,4/1/2014 04:38:00,40.6878,-74.1816,B02512
28,4/1/2014 04:47:00,40.7234,-73.9974,B02512
29,4/1/2014 04:49:00,40.7336,-73.99,B02512
30,4/1/2014 05:08:00,40.7141,-74.0094,B02512
31,4/1/2014 05:12:00,40.7893,-73.9709,B02512
32,4/1/2014 05:18:00,40.7747,-73.991,B02512
33,4/1/2014 05:19:00,40.7689,-73.9876,B02512
34,4/1/2014 05:23:00,40.7744,-74.0149,B02512
35,4/1/2014 05:24:00,40.7393,-73.9974,B02512
36,4/1/2014 05:24:00,40.7776,-73.9752,B02512
